Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Prevalence of anemia among children (% of children ages 6-59 months),SH.ANM.CHLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,13.6,13.5,13.5,13.5,13.5,13.6,13.6,13.6,13.7,13.7,13.8,13.8,13.8,14,14.2,14.4,14.7,15,15.5,,,,,
"Total alcohol consumption per capita, female (liters of pure alcohol, projected estimates, female 15+ years of age)",SH.ALC.PCAP.FE.LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.61,5.61,5.68,5.73,5.73,5.68,5.6,5.48,5.32,5.15,5.01,4.93,4.83,4.77,4.77,4.8,4.86,4.92,4.94,4.94,4.88,,,,
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.5697362,378.016843,401.0155909,400.0899495,395.1991057,370.3929585,365.7342969,445.654897,447.808174,427.495746,468.6894602,483.6786553,537.0484716,624.7968626,618.908065,627.1450351,636.9907543,660.2058003,720.0388353,787.0898491,658.2536035,783.9256133,857.0557731,880.6284206,
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.924469,1579.673565,1822.289265,2180.75591,2704.602972,2881.630423,3146.947869,3570.09686,3497.05975,3169.34266,3196.00395,3390.759453,3416.926799,3459.994866,3780.890519,3569.925694,3253.074288,3147.711621,3372.24548,3404.394132,4094.951548,4731.674556,4182.902901,,
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149467663,0.163002886,0.183679186,0.206692419,0.209517938,0.220102448,0.24511678,0.24111256,0.261005434,0.259343525,0.284672847,0.317063266,0.34584209,0.389375674,0.394331176,0.433050804,0.48676271,0.56113591,0.547532285,0.558395385,0.544006767,0.578404809,0.640166221,,
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.644165,2083.990234,2374.821777,2789.351318,3377.116943,3547.289795,3817.990723,4431.637695,4301.415527,3829.682861,3892.380127,4140.362305,4217.247559,4348.286621,4716.302246,4440.738281,4016.63916,3907.822266,4219.486328,4258.634766,4816.152832,5612.049316,5035.617188,5366.776855,
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12,,,,,,,,,,,,
Rural population (% of total population),SP.RUR.TOTL.ZS,21.556,21.626,21.763,21.901,22.04,22.179,22.318,22.459,22.6,22.741,22.883,22.97,22.805,22.642,22.479,22.317,22.156,21.995,21.836,21.677,21.519,21.412,21.461,21.511,21.56,21.61,21.66,21.71,21.76,21.81,21.86,21.888,21.828,21.768,21.707,21.647,21.587,21.528,21.468,21.409,21.349,21.249,20.953,20.661,20.371,20.085,19.801,19.521,19.243,18.969,18.698,18.43,18.163,17.898,17.635,17.374,17.114,16.857,16.602,16.348,16.097,15.848,15.602,15.358,15.116
Completeness of birth registration (%),SP.REG.BRTH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,100,,,100,,,,,100,,
"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
"Population, female",SP.POP.TOTL.FE.IN,27087260,27265086,27460134,27637673,27802667,27974742,28125317,28275159,28414616,28532999,28637461,28738819,28823016,28870557,28877822,28865075,28853290,28846645,28850871,28873565,28906644,28922418,28918454,28901418,28923076,29001605,29083931,29134567,29328957,29551584,29641433,29738378,29784083,29818864,29892451,29961002,30023364,30089701,30166931,30254272,30343575,30437111,30543756,30665632,30821071,31014712,31222319,31441219,31663843,31880512,32103121,32327054,32537949,32736543,32959014,33168132,33401831,33565330,33716465,33873975,33914232,34022808,34328919,34773417,35138272
Population growth (annual %),SP.POP.GROW,,0.760459939,0.848661388,0.748366449,0.650257749,0.642468779,0.551303249,0.53854377,0.48676828,0.415803269,0.398722458,0.417666617,0.339057516,0.193198186,0.06305921,-0.007423363,-0.024603833,-0.032873848,0.005359908,0.089728661,0.119517254,0.034821732,-0.035842794,0.034101374,0.158261863,0.226951225,0.23161023,0.212637261,0.222063894,0.26031145,0.298930554,0.309247932,0.270431182,0.239745439,0.254586487,0.264547417,0.254626384,0.257553323,0.291406085,0.333405882,0.357300887,0.38497597,0.42333708,0.465641114,0.568943113,0.686611306,0.735048678,0.778666112,0.787032622,0.75639086,0.783888647,0.781506562,0.712282568,0.669537112,0.747135715,0.721624003,0.794219715,0.54570602,0.488451313,0.514596381,0.169447088,0.35893793,0.921336799,1.304979723,1.065956447
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.061,1.061,1.061,1.057,1.06,1.059,1.061,1.059,1.059,1.059,1.06,1.061,1.063,1.065,1.061,1.061,1.059,1.06,1.059,1.059,1.052,1.053,1.054,1.056,1.051,1.053,1.053,1.053,1.05,1.051,1.05,1.052,1.052,1.053,1.054,1.052,1.054,1.052,1.052,1.054,1.052,1.051,1.053,1.052,1.054,1.05,1.049,1.053,1.051,1.052,1.052,1.051,1.053,1.054,1.054,1.055,1.054,1.053,1.055,1.055,1.055,1.055,1.055,1.055,
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y,2.773984052,2.802809862,2.835580259,2.903258544,2.976099502,2.990040632,2.970556046,2.971050892,2.987631304,3.000242918,3.030544236,3.078571596,3.122506463,3.163001717,3.225232343,3.313446286,3.404215742,3.488290521,3.572681415,3.648241568,3.703369872,3.747902743,3.796803056,3.853856331,3.899011494,3.917124807,3.91790473,3.919556544,3.91841988,3.922059483,3.917884464,3.871080223,3.768782564,3.598621959,3.482091303,3.540576492,3.670459751,3.802821296,3.942116094,3.991655062,3.911920068,3.803865496,3.720956236,3.654625872,3.611200043,3.580572076,3.549947539,3.510727155,3.46960416,3.432880399,3.402993635,3.39116675,3.410834537,3.447336735,3.482080739,3.491565334,3.480067827,3.502623212,3.57945414,3.687901835,3.777337364,3.885663315,4.126766941,4.371889623,4.472174365
"Population ages 65 and above, total",SP.POP.65UP.TO,6128434,6208802,6285664,6384258,6510525,6640535,6762192,6892022,7025618,7156229,7295447,7440180,7573189,7696021,7819320,7935647,8038244,8140868,8251047,8356150,8443854,8490694,8482309,8434078,8437447,8547429,8679335,8779431,8909512,9025148,9086535,9145244,9192215,9221339,9248096,9279632,9303026,9317878,9326206,9333236,9357878,9405430,9458582,9510239,9574521,9638726,9693621,9780054,9911806,10076423,10255011,10493033,10813887,11113946,11362835,11566125,11754283,11922308,12101554,12298722,12418252,12538500,12797650,13176579,13498909
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,3764428,3825574,3882828,3948553,4028050,4112199,4190107,4267920,4345380,4421116,4501378,4583787,4658138,4725250,4792253,4855648,4910446,4964755,5024406,5081890,5130250,5156353,5152360,5128134,5132788,5193841,5264012,5315552,5379221,5431203,5453701,5473565,5485441,5487719,5490752,5495988,5493764,5483664,5468704,5452950,5446439,5451245,5458533,5463310,5474140,5486311,5496183,5526706,5581039,5654337,5736837,5845470,5992244,6127779,6240762,6332825,6421615,6505912,6597480,6700599,6764042,6827492,6966203,7169758,7343245
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y,5.59631325,5.648371274,5.69875052,5.794023955,5.886342362,5.914933849,5.922558198,5.94010819,5.967735218,5.989532957,5.994534695,5.977663306,5.943715278,5.91097254,5.886647206,5.844768429,5.748147055,5.567925989,5.307759327,5.13539839,5.20568759,5.39483704,5.591378541,5.795194892,5.865810208,5.71144731,5.502523968,5.357759003,5.26409186,5.196903652,5.129547963,5.057773299,4.97511473,4.889864721,4.809094304,4.741551051,4.707553581,4.722000612,4.761720594,4.808813957,4.834321839,4.827146708,4.851261909,4.935483373,5.047221601,5.174510174,5.383249329,5.658898274,5.848557285,5.912401845,5.923331719,5.848079932,5.679707192,5.564525088,5.539674728,5.548495059,5.592283113,5.653050033,5.724089707,5.797021611,5.844297893,5.899143952,5.992824714,6.087361911,6.168592763
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y,6.828871441,6.81044809,6.774227331,6.726645522,6.667994852,6.576502564,6.425620648,6.187283673,5.868772915,5.653541279,5.708634032,5.898666056,6.098337973,6.313511926,6.401765179,6.249291027,6.030651076,5.878345609,5.766079243,5.684324127,5.620039736,5.558295146,5.487672708,5.405199904,5.314472386,5.234285439,5.183565788,5.180825555,5.185394287,5.199443663,5.212601564,5.196054862,5.220364293,5.317693594,5.461226956,5.633663384,5.89789437,6.234539373,6.474169511,6.572206283,6.603525199,6.535908998,6.360850449,6.221676683,6.17076795,6.160653725,6.189136838,6.234118185,6.291724645,6.350394808,6.409930486,6.491733152,6.578282835,6.649524784,6.716777833,6.79425833,6.843166112,6.864916753,6.89813727,6.927872658,6.925389273,6.92450191,6.902661071,6.787853515,6.601248754
"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,6.331063726,6.495102778,6.663812721,6.84976963,6.910180646,6.715710779,6.452570168,6.254958024,6.101105429,5.984834361,5.890326068,5.798679317,5.699741647,5.594408404,5.492878,5.413196582,5.372386133,5.379265901,5.426366682,5.48454482,5.505260173,5.488280218,5.503483359,5.605435104,5.74471711,5.893136161,6.145567368,6.490611174,6.744275727,6.84826903,6.88735538,6.823005421,6.642749128,6.511279565,6.482726177,6.497694759,6.555878604,6.633936233,6.721922618,6.809887114,6.898538122,7.002739516,7.103866756,7.183941524,7.254946184,7.329477279,7.373185276,7.38385913,7.393906137,7.398452746,7.354602859,7.309259137,7.24514056,7.068504736,6.840973669,6.636606346,6.404856356,6.18736134,6.081632054,6.074907372,6.123511336,6.217457864,6.35186917,6.481214939,6.551023216
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y,6.293216068,6.197422003,6.120612372,5.996573343,5.844851563,5.735524263,5.668830784,5.638784036,5.642107047,5.665261491,5.665861808,5.636816821,5.644239312,5.726390235,5.845978859,5.99433272,6.262197883,6.629752332,6.913274658,7.057612167,7.131154567,7.077948915,6.865835323,6.66305895,6.568078989,6.543037643,6.571975317,6.635859397,6.776703034,6.928833325,7.042411774,7.168065159,7.289547269,7.390085303,7.474495852,7.564536378,7.620089907,7.642431916,7.669385288,7.694051564,7.669272858,7.63664284,7.57589934,7.3876192,7.144102162,6.937568807,6.698468379,6.462776067,6.350443753,6.343545992,6.417753378,6.533916104,6.64781367,6.724262324,6.742439441,6.743622049,6.740947242,6.709539542,6.631684743,6.56682546,6.524163218,6.52034436,6.571534593,6.623322702,6.626907205
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y,6.137233936,6.121432269,6.133196136,6.185370517,6.264112715,6.376108638,6.60036342,6.921134434,7.166478974,7.280632579,7.328618483,7.253900147,7.022066442,6.800561252,6.677574359,6.618386629,6.623507062,6.686978012,6.779542538,6.908023277,7.085182168,7.285051544,7.480477193,7.659001566,7.794012699,7.878644455,7.89753826,7.851953401,7.783554413,7.728936885,7.650682613,7.56682408,7.425377977,7.157541576,6.867973754,6.60545997,6.306944514,6.021143391,5.874972614,5.847749505,5.904358242,6.01113193,6.124488106,6.222670034,6.31857831,6.441822258,6.550432199,6.587383725,6.529331066,6.456230346,6.42122884,6.410588625,6.421375045,6.452055436,6.443493796,6.355168448,6.241296328,6.123896888,6.033370089,5.96375043,5.909861793,5.860776894,5.73205281,5.561402449,5.510345005
"Population ages 15-64, male",SP.POP.1564.MA.IN,16679625,16836962,17040060,17188775,17265416,17316797,17344245,17357722,17357557,17356479,17368539,17403309,17441485,17473851,17509997,17561631,17632585,17711314,17799604,17910578,18027615,18130093,18236851,18393513,18539023,18604590,18638388,18692229,18552132,18378924,18380148,18366503,18381034,18410910,18438446,18497123,18561325,18622849,18699312,18799877,18931889,19077106,19210070,19311836,19430933,19610903,19813428,20009659,20171959,20301990,20438434,20537699,20556918,20570281,20638175,20727095,20840405,20893964,20936472,21003272,21026846,21124203,21332429,21597463,21831777
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,6.629198259,6.879738556,7.169396461,7.345838888,7.395053901,7.39616951,7.299867562,7.051997553,6.80245936,6.656090679,6.58730136,6.577066967,6.614311389,6.690482863,6.815681546,6.993677191,7.200034207,7.407454607,7.604449039,7.78262624,7.909812408,7.970251362,7.970927359,7.836516108,7.671383562,7.567210579,7.455735457,7.288790945,7.123828729,6.913934402,6.614237973,6.282453881,5.944286182,5.748509845,5.701195913,5.745570977,5.83985932,5.936796045,5.998103441,6.008254942,6.022158997,6.067248762,6.107732402,6.099842381,6.090994995,6.077500345,6.051728822,6.074714073,6.151411182,6.183498082,6.118047562,6.016944233,5.892072807,5.780342591,5.695409557,5.615494864,5.52070576,5.415579986,5.336643556,5.304565684,5.308703538,5.363816277,5.46069342,5.573619126,5.703725862
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y,6.868416518,6.844803125,6.881480529,6.944139272,7.033847502,7.162575545,7.326134771,7.508643454,7.692126407,7.858912051,7.951424176,7.953636805,7.928966032,7.881002272,7.778516709,7.649471609,7.517606844,7.350476867,7.117724245,6.833013994,6.516905643,6.184638076,5.887071097,5.696938818,5.648255928,5.707370549,5.815536087,5.928648267,6.040645368,6.108090485,6.140494105,6.179400298,6.197981308,6.167314698,6.145770754,6.142440514,6.138410744,6.166362485,6.226766946,6.232736411,6.137843316,6.027026075,5.928892808,5.85622255,5.788329063,5.70032281,5.593294045,5.480936688,5.395749217,5.356939888,5.363793252,5.422166298,5.534429458,5.66688223,5.780268173,5.873032774,5.953650008,6.009191424,6.021403266,6.000489126,5.973552689,5.920705966,5.825612912,5.717970914,5.605487435
"Population ages 0-14, male",SP.POP.0014.MA.IN,6269110,6314724,6346970,6387848,6449442,6528175,6606854,6686617,6759290,6817159,6863181,6897702,6906514,6879348,6815089,6719095,6598296,6459420,6319389,6188548,6066353,5946978,5828387,5731973,5655314,5590486,5543754,5511375,5516948,5552257,5593171,5648337,5708511,5755220,5777505,5777261,5772999,5770189,5763395,5748030,5705611,5651272,5616604,5623180,5635520,5623177,5613634,5618237,5640426,5671682,5706636,5746494,5794490,5846009,5900737,5959473,6032096,6090309,6131989,6155630,6148713,6125981,6111205,6114298,6100286
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y,7.471543377,7.644068509,7.816244507,7.992086236,8.149249641,8.259913756,8.29615936,8.266613509,8.192516636,8.06324668,7.878612924,7.675428191,7.46271241,7.210671406,6.918640725,6.601002281,6.262197883,5.952784939,5.756920126,5.70001069,5.74026406,5.828388551,5.933754116,6.018119607,6.057367587,6.07501619,6.105249881,6.157744951,6.181020175,6.193417301,6.19738599,6.18927252,6.224143628,6.29851843,6.313618531,6.227992033,6.111579067,5.99334705,5.897074884,5.816430688,5.725877526,5.622928534,5.533019102,5.478062949,5.462982918,5.489177245,5.557963656,5.66470323,5.782235124,5.877607734,5.944763215,5.996891886,6.032625353,6.032217412,6.000315707,5.950691979,5.875523755,5.773584364,5.660950945,5.540346076,5.436672652,5.311563817,5.151062528,5.01415127,4.923125663
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.69,2.78,2.86,2.88,2.93,2.86,2.78,2.68,2.6,2.51,2.44,2.41,2.2,2.04,1.92,1.81,1.74,1.69,1.75,1.86,1.9,1.82,1.78,1.77,1.77,1.79,1.78,1.81,1.82,1.79,1.83,1.82,1.79,1.76,1.74,1.71,1.73,1.72,1.71,1.68,1.64,1.63,1.63,1.7,1.75,1.76,1.82,1.86,1.91,1.89,1.92,1.91,1.92,1.83,1.81,1.8,1.79,1.74,1.68,1.632,1.571,1.583,1.49,1.42,1.41
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN,25.7,25.3,24.9,24.1,23.4,22.7,22,21.4,21.1,20.8,20.4,19.9,19.4,18.7,18.1,17.3,16.6,15.8,15,14.3,13.5,12.8,12.2,11.6,11.2,10.8,10.6,10.3,9.9,9.4,8.9,8.3,7.7,7.3,7,6.8,6.6,6.4,6.3,6.2,6.1,6,5.9,5.8,5.7,5.7,5.5,5.4,5.3,5.1,4.9,4.7,4.6,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,82,,,,,77,69,75,80,,79,78,76,74,,,76,,,71.1,,,,,,,,,,,,
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,109.365,110.912,110.498,111.365,107.739,108.28,108.542,104.594,106.317,109.382,106.877,105.395,107.623,105.536,104.664,102.725,103.044,99.982,101.766,100.469,96.533,94.264,92.496,90.337,88.436,87.047,84.421,83.524,81.767,80.426,78.124,75.839,74.16,74.268,71.992,72.505,71.238,69.783,69.213,68.318,67.6,65.765,64.844,64.551,62.084,61.571,60.813,60.006,60.097,58.132,57.445,55.723,54.293,53.751,53.443,53.822,54.788,52.681,54.096,53.185,57.012,59.375,56.403,,
"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.2078147,504.2828869,534.2049464,535.4734271,533.81642,517.1646259,523.38343,606.9907342,623.2931023,596.6826543,641.3770186,662.3222732,721.7409991,816.8811191,813.5258888,822.5906018,820.7733846,862.1143772,922.850868,998.8229942,860.3336085,991.9687167,1091.49158,,
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.4273796,377.9199791,414.6311519,454.5490903,497.6854588,476.5419141,468.6975166,632.2955889,577.6518485,472.8979121,508.6546364,547.1556794,595.2346023,679.0921478,711.2906158,663.5600525,592.2408808,581.7129092,660.6533154,672.7805063,551.4528215,695.3305021,669.1717495,741.7253257,
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.39725876,15.587327,16.05598831,16.24128342,16.66044426,16.532938,17.23350143,17.15899467,16.57486534,17.23506927,17.01038551,17.56054688,17.61323357,18.13915825,18.42700768,18.66418648,19.02472878,18.80131912,19.02513695,19.46484375,19.36759186,22.08565712,20.66609383,,
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15932565,0.16296112,0.18991559,0.23482682,0.26385189,0.28318044,0.3141232,0.34209073,0.33668495,0.28688709,0.30894692,0.35867402,0.3833121,0.42321269,0.45319181,0.45819579,0.45256666,0.49442159,0.50237432,0.47729942,0.45574238,0.51303657,0.49982879,,
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15692902,7.45211363,7.87847328,8.07831287,8.3386755,8.39430904,8.54522514,8.75711441,9.04033756,9.84771252,9.78937912,9.7956152,9.89160061,9.97822475,9.90305996,9.83625221,9.76546955,9.60016823,9.73837566,9.95388126,11.96547699,12.01903439,11.05087757,10.872015,
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,0,,,0,,,0,0,0,0,0,,,,
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.35,,,,,0.44,,,,,0.38,,,0.35,0.42,,0.35,0.58,0.37,0.69,0.35,,,,
Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.444,78.374,78.237,78.099,77.96,77.821,77.682,77.541,77.4,77.259,77.117,77.03,77.195,77.358,77.521,77.683,77.844,78.005,78.164,78.323,78.481,78.588,78.539,78.489,78.44,78.39,78.34,78.29,78.24,78.19,78.14,78.112,78.172,78.232,78.293,78.353,78.413,78.472,78.532,78.591,78.651,78.751,79.047,79.339,79.629,79.915,80.199,80.479,80.757,81.031,81.302,81.57,81.837,82.102,82.365,82.626,82.886,83.143,83.398,83.652,83.903,84.152,84.398,84.642,84.884
Rural population growth (annual %),SP.RUR.TOTL.ZG,,1.084669384,1.480164263,1.380459654,1.282930645,1.271159796,1.176064695,1.168334346,1.112615837,1.037757603,1.021202874,0.797141218,-0.381860806,-0.524121455,-0.659446053,-0.730704818,-0.748640538,-0.762191839,-0.720157547,-0.641090279,-0.612039931,-0.463656291,0.19273916,0.266815797,0.385794972,0.458592095,0.462713595,0.443214089,0.452108511,0.489829569,0.527915755,0.437252573,-0.004065589,-0.035507331,-0.026037702,-0.012245079,-0.0229337,-0.016128407,0.012305613,0.058202149,0.07665411,-0.084534498,-0.979464267,-0.937751106,-0.844613311,-0.727294808,-0.689030674,-0.645498562,-0.647312856,-0.677734878,-0.655063794,-0.662170794,-0.747040937,-0.80022371,-0.733203476,-0.769449843,-0.71357843,-0.967374861,-1.035833182,-1.02716495,-1.377815683,-1.200029045,-0.643080768,-0.271282967,-0.522314201
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.30675564,48.36158015,48.43167242,48.48523294,48.51358016,48.5266861,48.53414575,48.53784797,48.53515559,48.53517659,48.55230242,48.58540123,48.60930977,48.62389903,48.64336664,48.66222501,48.67055717,48.66550523,48.66073691,48.66643544,48.66901031,48.65888112,48.6475151,48.69526514,48.73801166,48.7153532,48.68875368,48.7086002,48.48090747,48.22479608,48.222388,48.21344097,48.27392397,48.33752634,48.34171658,48.36004387,48.38415236,48.40316684,48.42125922,48.44410198,48.47634683,48.51610332,48.55396798,48.58863747,48.6211917,48.65216426,48.68701536,48.72805619,48.76980714,48.80792995,48.85298708,48.89715183,48.92883706,48.96000409,48.99564511,49.04109549,49.08800672,49.11722678,49.13716383,49.16183882,49.18759409,49.20755937,49.22058033,49.22995895,49.24122183
"Population, total",SP.POP.TOTL,52400000,52800000,53250000,53650000,54000000,54348050,54648500,54943600,55211700,55441750,55663250,55896223,56086065,56194527,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63711000,64139000,64620000,65088000,65607000,65966000,66289000,66631000,66744000,66984000,67604000,68492000,69226000
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,35.94525555,35.93356063,35.75136923,35.72542688,35.9518491,36.31485829,36.72210149,37.17101055,37.62612672,38.01100858,38.27347505,38.40114939,38.39954227,38.21894698,37.81768348,37.20253582,36.39126641,35.45650635,34.51349364,33.60950804,32.75972433,31.94892841,31.1422252,30.38922865,29.77465821,29.345932,29.04842754,28.81924129,28.95152385,29.26291599,29.46494028,29.75845322,30.06834852,30.27965549,30.3305347,30.21480258,30.05829663,29.91003931,29.73639759,29.48727042,29.05159395,28.56007242,28.20152781,28.06537126,27.92100154,27.59917517,27.28089523,27.04894121,26.94806968,26.93728446,26.94647921,27.02181313,27.22157284,27.44301032,27.61598541,27.78673418,27.98882682,28.19868927,28.34210584,28.37246954,28.32559922,28.10994356,27.78867936,27.47970452,27.14206028
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,1.307694385,1.314971247,1.311458922,1.300045118,1.30024831,1.325514176,1.350887817,1.363336471,1.366691565,1.371443337,1.381662889,1.390490139,1.393608763,1.394138098,1.399396008,1.407847383,1.413496681,1.425819058,1.448037812,1.474001804,1.514498287,1.570342018,1.633051186,1.697634924,1.768195453,1.837179916,1.902130603,1.975591433,2.064977279,2.153677758,2.226473372,2.293389805,2.362247665,2.430288372,2.499332733,2.556818192,2.583500957,2.579034142,2.550146067,2.556590671,2.649118814,2.769216665,2.864592188,2.939634438,3.008420219,3.083798748,3.161224622,3.233819269,3.297757948,3.365562099,3.442898362,3.526471103,3.606027016,3.671810545,3.737850548,3.802825917,3.870806959,3.951166557,4.039830705,4.138871234,4.195448305,4.201003773,4.238946635,4.336285108,4.448691926
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,2.665225907,2.657425293,2.6535214,2.667512271,2.68319334,2.681028013,2.678507854,2.684481334,2.701927914,2.743850793,2.820083966,2.918968145,3.027175873,3.141681483,3.249107155,3.337478682,3.414073793,3.484469371,3.547608956,3.603181515,3.646690993,3.675100264,3.696651526,3.706127492,3.702539955,3.684034906,3.623768104,3.499065229,3.381323252,3.329930189,3.393557721,3.536241053,3.682085041,3.848300278,3.95181033,3.93066757,3.876082782,3.842121605,3.812001295,3.78729245,3.766610806,3.748033389,3.72784419,3.705817227,3.686492673,3.675571826,3.68086273,3.705621624,3.75283325,3.809504751,3.82865497,3.801729887,3.792821312,3.832336872,3.891457331,3.968191531,4.161862324,4.463519848,4.6915265,4.803215569,4.864036565,4.850593701,4.688207189,4.511416597,4.431615741
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,9.339192118,9.3332121,9.316976941,9.363655399,9.476060286,9.586721737,9.697495692,9.839727169,10.00197549,10.16440085,10.33852996,10.51791612,10.69231387,10.8723995,11.06701404,11.25700927,11.43256122,11.61418462,11.79947372,11.9614719,12.0901046,12.16406014,12.15523198,12.05166446,12.01737977,12.17332367,12.37549492,12.51967545,12.79120036,13.05696117,13.15950826,13.26161343,13.33548574,13.3822706,13.4318951,13.4850679,13.53509919,13.58337797,13.6210236,13.64943077,13.70082033,13.78602271,13.87618416,13.96362096,14.05837007,14.13035052,14.16880738,14.23417176,14.36733251,14.54836535,14.73482027,15.02521484,15.46734418,15.87827133,16.17787142,16.39511819,16.55842365,16.71692623,16.89790051,17.0898395,17.22281335,17.32645836,17.52496692,17.8145735,18.0583008
